Gains,Losses
634,172
452,336
294,924
382,7
465,801
586,836
716,854
265,914
10,687
91,36
920,18
83,913
466,317
413,123
849,922
606,963
994,466
825,443
510,779
750,399
483,264
294,626
860,242
925,971
937,24
58,125
125,10
532,126
615,423
996,988
750,401
837,98
645,511
691,155
565,695
540,281
622,851
782,224
309,751
898,286
705,233
892,797
17,69
531,414
932,378
579,761
64,759
819,344
289,759
328,721
834,413
609,995
495,859
267,238
118,687
881,6
489,438
208,728
304,445
726,477
688,363
759,918
378,331
487,915
479,338
699,483
539,284
395,380
818,72
966,39
919,814
419,444
78,847
556,96
765,496
893,627
622,522
215,367
458,899
807,568
472,559
53,981
848,107
202,586
781,152
120,531
198,786
561,313
244,31
534,508
564,668
408,367
770,659
968,421
500,590
698,505
788,622
165,949
77,618
830,64
761,677
823,643
157,973
692,806
7,565
835,545
775,45
458,849
319,897
404,452
820,623
322,985
759,828
888,709
155,129
337,285
800,460
253,831
654,541
896,997
293,39
715,737
605,579
490,365
385,318
737,885
272,350
231,330
923,980
70,463
192,572
287,658
230,595
100,108
728,72
221,79
488,430
392,774
833,499
397,125
801,391
25,773
506,92
877,518
410,373
48,971
444,928
720,156
268,727
696,91
204,250
161,930
387,837
864,887
950,389
946,649
932,414
243,88
542,286
998,354
38,894
523,129
248,834
631,153
719,108
49,768
880,83
929,519
36,577
658,825
508,845
939,666
996,851
901,186
198,419
325,225
538,743
727,942
409,916
642,959
518,822
173,81
801,185
919,635
968,150
1,464
177,417
618,532
64,128
112,991
229,246
335,237
429,562
246,390
549,997
958,571
532,809
722,34
106,409
933,162
